id,district_name,city_name,gu_name,assembly_number
1,종로구,서울특별시,종로구,22
2,중구성동구갑,서울특별시,성동구,22
3,중구성동구을,서울특별시,중구,22
4,용산구,서울특별시,용산구,22
5,광진구갑,서울특별시,광진구,22
6,광진구을,서울특별시,광진구,22
7,동대문구갑,서울특별시,동대문구,22
8,동대문구을,서울특별시,동대문구,22
9,중랑구갑,서울특별시,중랑구,22
10,중랑구을,서울특별시,중랑구,22
11,성북구갑,서울특별시,성북구,22
12,성북구을,서울특별시,성북구,22
13,강북구갑,서울특별시,강북구,22
14,강북구을,서울특별시,강북구,22
15,도봉구갑,서울특별시,도봉구,22
16,도봉구을,서울특별시,도봉구,22
17,노원구갑,서울특별시,노원구,22
18,노원구을,서울특별시,노원구,22
19,은평구갑,서울특별시,은평구,22
20,은평구을,서울특별시,은평구,22
21,서대문구갑,서울특별시,서대문구,22
22,서대문구을,서울특별시,서대문구,22
23,마포구갑,서울특별시,마포구,22
24,마포구을,서울특별시,마포구,22
25,양천구갑,서울특별시,양천구,22
26,양천구을,서울특별시,양천구,22
27,강서구갑,서울특별시,강서구,22
28,강서구을,서울특별시,강서구,22
29,강서구병,서울특별시,강서구,22
30,구로구갑,서울특별시,구로구,22
31,구로구을,서울특별시,구로구,22
32,금천구,서울특별시,금천구,22
33,영등포구갑,서울특별시,영등포구,22
34,영등포구을,서울특별시,영등포구,22
35,동작구갑,서울특별시,동작구,22
36,동작구을,서울특별시,동작구,22
37,관악구갑,서울특별시,관악구,22
38,관악구을,서울특별시,관악구,22
39,서초구갑,서울특별시,서초구,22
40,서초구을,서울특별시,서초구,22
41,강남구갑,서울특별시,강남구,22
42,강남구을,서울특별시,강남구,22
43,강남구병,서울특별시,강남구,22
44,송파구갑,서울특별시,송파구,22
45,송파구을,서울특별시,송파구,22
46,송파구병,서울특별시,송파구,22
47,강동구갑,서울특별시,강동구,22
48,강동구을,서울특별시,강동구,22
49,중구영도구,부산광역시,영도구,22
50,서구동구,부산광역시,서구,22
51,부산진구갑,부산광역시,부산진구,22
52,부산진구을,부산광역시,부산진구,22
53,동래구,부산광역시,동래구,22
54,남구,부산광역시,남구,22
55,북구갑,부산광역시,북구,22
56,북구을,부산광역시,북구,22
57,해운대구갑,부산광역시,해운대구,22
58,해운대구을,부산광역시,해운대구,22
59,사하구갑,부산광역시,사하구,22
60,사하구을,부산광역시,사하구,22
61,금정구,부산광역시,금정구,22
62,강서구,부산광역시,강서구,22
63,연제구,부산광역시,연제구,22
64,수영구,부산광역시,수영구,22
65,사상구,부산광역시,사상구,22
66,기장군,부산광역시,기장군,22
67,중구남구,대구광역시,남구,22
68,동구군위군갑,대구광역시,동구,22
69,동구군위군을,대구광역시,동구,22
70,서구,대구광역시,서구,22
71,북구갑,대구광역시,북구,22
72,북구을,대구광역시,북구,22
73,수성구갑,대구광역시,수성구,22
74,수성구을,대구광역시,수성구,22
75,달서구갑,대구광역시,달서구,22
76,달서구을,대구광역시,달서구,22
77,달서구병,대구광역시,달서구,22
78,달성군,대구광역시,달성군,22
79,중구강화군옹진군,인천광역시,중구,22
80,동구미추홀구갑,인천광역시,미추홀구,22
81,동구미추홀구을,인천광역시,미추홀구,22
82,연수구갑,인천광역시,연수구,22
83,연수구을,인천광역시,연수구,22
84,남동구갑,인천광역시,남동구,22
85,남동구을,인천광역시,남동구,22
86,부평구갑,인천광역시,부평구,22
87,부평구을,인천광역시,부평구,22
88,계양구갑,인천광역시,계양구,22
89,계양구을,인천광역시,계양구,22
90,서구갑,인천광역시,서구,22
91,서구을,인천광역시,서구,22
92,서구병,인천광역시,서구,22
93,동구남구갑,광주광역시,남구,22
94,동구남구을,광주광역시,동구,22
95,서구갑,광주광역시,서구,22
96,서구을,광주광역시,서구,22
97,북구갑,광주광역시,북구,22
98,북구을,광주광역시,북구,22
99,광산구갑,광주광역시,광산구,22
100,광산구을,광주광역시,광산구,22
101,동구,대전광역시,동구,22
102,중구,대전광역시,중구,22
103,서구갑,대전광역시,서구,22
104,서구을,대전광역시,서구,22
105,유성구갑,대전광역시,유성구,22
106,유성구을,대전광역시,유성구,22
107,대덕구,대전광역시,대덕구,22
108,중구,울산광역시,중구,22
109,남구갑,울산광역시,남구,22
110,남구을,울산광역시,남구,22
111,동구,울산광역시,동구,22
112,북구,울산광역시,북구,22
