partyName,promise_order,realm,title,content
더불어민주당,1,"건설교통,과학기술정보통신, 노동경제재정,보건복지,교육, 여성,농림해양수산",민생을 촘촘히 챙기겠습니다.,"□ 목 표
  ○ 전 국민의 기본주거를 국가가 책임
  ○ 사회초년생 등 전세사기 피해자 지원 확대
  ○ 철도 도심구간 지하화
  ○ 청년·국민 어르신 패스로 교통비 절감, 가계통신비 부담 경감, 가계대출 원리금 상환부담 경감 
  ○ 모든 경로당에서 주5일 어르신 점심밥상을 제공
  ○ 근로소득자 세부담 완화, 전국민 자산증식 지원프로그램 마련
  ○ 주4일(4.5일) 도입지원 등으로 노동시간을 2030년까지 OECD평균 이하로 단축
  ○ 비정규직·특고·플랫폼 노동자 등 차별을 해소
  ○ 청년들이 양질의 일자리를 찾아갈 수 있도록 취업단계별 지원을 대폭 강화
  ○ 여성청년의 채용 과정에서의 성차별 관행을 근절
  ○ 대학생 국가장학금 지원 확대 
  ○ 가격·재해·인력 걱정 없이 농사 지을 수 있도록 국가 책임을 대폭 강화
  ○ 국민 모두에게 건강하고 안전한 먹거리를 보장
  ○ 양육비 안주는 나쁜 부모 제재를 강화하고 아이들의 건강한 성장을 지원

□ 이행방법
  ○ 기본주택 100만호 규모의 주거복합플랫폼 조성, 정권에 흔들림 없는 공공임대 공급로드맵 법정화, 2040세대·4050세대·6080세대 맞춤형 주거정책 시행
  ○ 전세사기를 사회적 재난으로 간주하고 선보상 방식의 피해자 일상회복 추진
  ○ 철도, GTX, 도시철도 도심구간 예외없는 지하화, 지하화한 상부는 주변지역과 통합개발하여 지역내 랜드마크화하는 한편 시민을 위한 공간 확충
  ○ 월3만원청년패스, 월5만원국민패스, 무상어르신패스 도입
  ○ 통신비 세액공제 신설, 병사에 대한 통신요금 할인율 20%에서 50%로 인상,'내돈내산 데이터 내 맘대로' 서비스 도입
  ○ 가계대출 이자에 법적비용 등 불필요한 가산금리항목 제외, 가계대출 중도상환수수료 면제 추진, 금리인하요구권 주기적 고지 의무화
  ○ 중앙정부의 경로당 운영비 지원을 통하여 주5일 점심밥상 제공
  ○ 소득세 근로소득세액공제 공제기준 및 한도를 물가연동하여 상향, 개인종합자산관리계좌(ISA)에서 발생한 모든 금융·투자소득에 대해 한도 없는 비과세
  ○ 주 4(4.5)일제를 도입기업에 대한 지원 등으로 실노동시간 단축, 포괄임금제 금지 등 「근로기준법」에 명문화
  ○ 동일가치노동 동일임금·처우 법제화 및 '고용형태'에 따른 차별 금지, '정규직'고용 및 채용 원칙 명시 및 비정규직의 정규직 고용전환 지원 
  ○ 청년구직활동지원 대폭 강화로 양질의 일자리준비 지원, 윤석열 정부서 중단된 청년내일채움공제 재도입, 대학미진학 청년에게 '청년역량개발카드' 지급
  ○ 채용절차법 개정을 통해 면접심사 공정성 강화, 현행 500만원에 불과한 채용 성차별 처벌규정 강화
  ○ 대학생 국가장학금 지원 체계 개편으로 지원금액 및 대상 대폭 확대
  ○ 농산물 가격안정제도 도입으로 가격폭락시 농가손실보전, 생산비가 급등한 필수 농자재 국가지원제도 도입, 이상기후 따른 농어업재해 국가책임제 도입
  ○ 먹거리 기본법 제정 및 먹거리 돌봄체계 구축 및 강화, 천원의 아침밥 확대 및 취업전 청년 취약계층에 먹거리바우처 지원
  ○ 양육비 국가 대지급 제도 도입, 양육비 이행관리원 독립기관화 및 권한 강화, 양육비 불이행·감치명령 집행회피 위한 주소 허위신고 제재 방안 마련

□ 이행기간
  ○ 법률 제·개정사항은 2024년부터 준비하여 단계적으로 추진
  ○ 제도개선과 함께 재정사업 등은 2025년부터 지속적으로 확대되도록 추진

□ 재원조달방안 등
  ○ 기본주택 100만호 규모의 주거복합플랫폼은 주택도시기금, 지방비 등을 활용 
  ○ 철도지하화 비용은 민간투자 및 상부 및 인접지역 개발이익 재원으로 조달
  ○ 그 외 소요비용은 정부재정 지출구조 조정분(경직성경비 제외한 재량지출의 10%인 18조원 수준), 2023~2027 국가재정운용계획에 따른 연간 총수입 증가분(2023~2027년 연평균 증가율 3.7%, 2025년 49조원 증가) 등으로 충당"
더불어민주당,2,"보건복지,건설교통,노동, 여성,교육",저출생 문제를 해결하겠습니다.,"□ 목 표
  ○ 저출생 극복을 위해서 결혼-출생-양육의 양립이 가능한 사회구조 실현

□ 이행방법
  ○ 우리아이 보듬주택 마련 
    - 2자녀 가구에게 24평형, 3자녀 자구에게 33평형 분양전환 공공임대 제공
    - 신혼부부 주거지원 대상을 현행 7년차까지에서 10년차까지로 확대
  ○ 결혼-출산-양육 드림 패키지(출생기본소득)
    - 결혼·출산지원금 : 모든 신혼부부에게 가구당 10년 만기 1억원 대출, 첫 자녀 출생시 무이자전환, 둘째 출생시 무이자+원금50% 감면, 셋째 출생시 무이자+원금전액 감면 
    - 우리아이 키움카드 : 18세까지 월 20만원 아동바우처 지급
    - 우리아이 자립펀드 : 18세까지 월 10만원 자녀 펀드계좌에 입금(부모 월 최대 10만원 입금가능, 성인되기 전까지 인출 불가)
  ○ 아이돌봄서비스 국가 무한책임 보장
    - 아이돌봄서비스 지원 대상 '소득기준 전면 폐지(현행 중위소득 150% 이하 신청가능)' 및 본인부담금 20% 이하로 대폭 축소
    - 아이돌보미 돌봄수당 확대 및 미혼모.부와 비혼 출산 가정 아이돌봄 특별(무상)바우처 지원)
  ○ 여성경력단절 방지 및 남성육아휴직 강화
    - ""중소기업 노동자 출산·육아 워라밸 프리미엄""지원 도입
    - 아이를 가진 부모 누구나, 출산휴가(급여)와 육아휴직(급여) 보장 추진
    - 부모 육아휴직, 육아기근로시간 단축, 배우자출산휴가 '사용권' 제도화
    - 출산 및 육아 관련 휴직기간 및 급여보장 확대
  ○ 여성경력단절 방지 및 남성육아휴직 강화
  ○ 지자체 협력형 온동네 초등볼봄재능학교 도입
  ○ 저출산 대응을 위한 소득세제 개선

□ 이행기간
  ○ 2025년부터 단계적으로 확대 시행

□ 재원조달방안 등
  ○ 연간 최소 10조원에서 최대 23조원 소요될 것으로 예상되는 저출생 대책 재원은 정부재정 지출구조 조정분(경직성경비를 제외한 재량지출의 10%인 18조원 수준) 및 2023~2027 국가재정운용계획에 따른 연간 총수입 증가분(2023~2027년 연평균 증가율 3.7%, 2025년 49조원 증가) 등으로 충당"
더불어민주당,3,"산업자원,환경,농림해양수산",기후위기 대처와 재생에너지 전환을 이뤄내겠습니다.,"□ 목 표
  ○ 친환경 재생에너지 대전환으로 RE100 시대 구현
  ○ 탄소중립형 산업전환 추진으로 산업 경쟁력 향상
  ○ 재생에너지 중심의 에너지고속도로 건설로 탄소중립과 에너지 전환 실현
  ○ 脫플라스틱 대책으로 탄소중립 실현 기여
  ○ 농림축산업을 탄소중립을 선도하는 전략산업으로 육성
  ○ 농촌을 재생에너지 산업의 거점으로 육성

□ 이행방법
  ○ 국제사회(COP28)와의 약속 이행(2030년 재생에너지 3배 확대)을 위한 재생에너지 보급 강화
  ○ 기업의 RE100 이행 적극 지원을 위해 RE100 활성화를 위한 제도 개선
  ○ 2050년 탄소중립 실현을 위해 산업구조 대전환 지속 추진
  ○ 탄소중립산업법(한국형 IRA) 제정으로 산업의 글로벌 경쟁력 강화 및 기후위기에 적극 대응
  ○ 송배전 설비의 적기 건설과 신규 전력망 인프라 확충 및 재생에너지 전력계통 접속 보장 등 으로 재생에너지 계통연계의 안정성 강화
  ○ 脫플라스틱 대책을 추진할 컨트롤타워 설치 및 플라스틱 원료를 일정량 이상 사용 및 생산하는 사업자는 재생플라스틱 사용을 확대하도록 제도 개선
  ○ 친환경유기농업 비중 확대 및 친환경직불제 인상, 한우 등 축산업이 환경 친화적이고 탄소 중립을 선도하는 산업으로 전환되도록 촉진하는 제도 마련 및 지원
  ○ 마을공동체 주도 태양광, 농림어업 부산물 활용 에너지 자립마을 육성 및 확대, 농업인·주민에게 햇빛·바람·바이오 연금 지급 및 농촌 난방 문제 해결로 농촌지역 주민의 참여 확대

□ 이행기간
  ○ 법률 제·개정사항은 2024년부터 준비하여 단계적으로 추진
  ○ 제도개선과 함께 재정사업 등은 2025년부터 지속적으로 확대되도록 추진

□ 재원조달방안 등
  ○ 소요재원(연평균 5조원 예상)은 2023~2027 국가재정운용계획에 반영되어 있는 재원 및 연간 총수입 증가분(2023~2027년 연평균 증가율 3.7%, 2025년 49조원 증가)으로 마련"
더불어민주당,4,"과학기술정보통신, 교육,건설교통,산업자원,행정자치,농림해양수산,문화관광",혁신성장과 균형발전으로 희망찬 내일을 준비하겠습니다. ,"□ 목 표
  <혁신성장>
  ○ 국가연구개발(R&D)예산 국가예산의 5% 수준 확보로 지속적 R&D 투자 
  ○ 과학기술혁신을 강력히 추진하기 위한 거버넌스 구축 및 젊은 과학기술 인력 양성
  ○ 글로벌 5대 산업강국 도약을 위해 혁신선도형 산업구조 구축 및 반도체 등 첨단전략산업 육성
  ○ 인공지능(AI), IT·SW, 미래 모빌리티 新강국으로 도약
  ○ 중소·벤처스타트업, 콘텐츠 산업, 스마트 미래농업의 지속가능한 성장 
  <균형발전>
  ○ 5권3특 구현 및 광역행정청 설립을 통하여 지역균형발전과 자치분권을 달성
  ○ 대학서열화 완화, 지역균형발전을 위해'서울대 10개 만들기' 추진
  ○ 지역대표 전략산업, 지역혁신을 주도한 스타트업 육성
  ○ 서울 보다 살기 좋은 지방, 자족기능을 갖춘 명품신도시 조성
  ○ 5060세대 웨라벨 지원 및 소멸위기 농산어촌을 균형발전의 거점으로 전환,청년의 어촌정착 촉진

□ 이행방법
  <혁신성장>
  ○ 국가연구개발(R&D) 예산 지출한도를 재정당국과 협의로 설정하기 위한 제도 개선을 통해 국가 예산대비 5% 수준으로 안정적 확보
  ○ 범부처 국가과학기술 혁신전략을 추진하는 과학기술혁신부총리제 도입, 국가 과학기술 연구·산업 현장의 인적 수요에 적극 대응한 과학기술 인재 육성
  ○ 반도체, 미래형 모빌리티, 이차전지, 재생에너지, 디스플레이, AI, 바이오, 지능형 로봇, 수소 등 첨단전략산업을 집중 지원
  ○ 종합 반도체생태계허브 구축을 위한 시스템반도체 및 첨단패키징 지원 확대
  ○ AI 기술 중심의 전문 벤처·스타트업 등 활성화 및 데이터 활용 기반 조성
  ○ 국내·외 IT·SW 인재 역량 강화 기반 조성, 규제 혁신
  ○ 무선급전트램 상용화·자율협력주행·UAM 조기상용화 등 미래 모빌리티 육성
  ○ 콘텐츠 R&D와 제작비, 콘텐츠 생태계 조성 및 저작권 보호 등 집중 지원
  ○ 중소·벤처스타트업 전용 R&D 예산 대폭 확대, 스마트 데이터농업 확산으로 생산·유통·소비 디지털 혁신 등
  <균형발전>
  ○ 5대 초광역권(수도권, 동남권, 대경권, 중부권, 호남권) 특별지자체 구성,제주·강원·전북 특별자치도의 자치권한 및 경쟁력을 강화하는 특별법 개정,중앙과 지방의 협력을 제도화할 수 있는 광역행정청 설치
  ○ 9개 거점 국립대 집중 투자를 통한 교육의 질 제고 및 발전기반 구축, 취업지원 시스템 구축
  ○ 혁신도시, 경제자유구역, 국가·지방 산업단지 등을 연계한 경쟁력 있는 지역대표 전략산업 육성, 스타트업 지방 비중 대폭 확대
  ○ 이전 공공기관 정주여건 개선 및 제2 공공기관 지방이전 추진, 자족기능을 갖춘 지방 성장거점 육성
  ○ 1기 신도시 신속한 재개발·재건축, 교통이 편리한 2기 신도시 및 자족기능을 갖춘 3기 신도시 건설
  ○ 소멸지역 농어촌주민수당(기본소득) 단계적 지급, 찾아가는 마을주치의 단계적 확대 및 공공형 버스·맞춤형 택시 확대, 5도(都)2촌(村) 세컨하우스 및 귀농귀촌 지원 강화, 연안어선 청년임대사업 및 청년어촌정착자금 지원 확대

□ 이행기간
  ○ 관련법 제·개정 사항은 2024년부터 준비하여 지속 추진
  ○ 재정사업의 경우 2025년부터 단계적으로 투자 확대

□ 재원조달방안 등
  ○ 소요재원(연평균 6조원 예상)은 2023~2027 국가재정운용계획에 반영되어 있는 재원과 재정지출 구조조정 및 연간 총수입 증가분(2023~2027년 연평균 증가율 3.7%, 2025년 49조원 증가)으로 마련"
더불어민주당,5,"보건복지,노동, 문화관광, 농림해양수산",국민이 건강하고 행복한 삶을 준비하겠습니다.,"□ 목 표
  ○ 요양병원 간병비 지원으로 어르신 간병 부담 경감 및 간병 서비스 질 개선
  ○ 합리적인 의대 정원 확대와 함께 공공·필수·지역 의료 강화
  ○ 윤석열 정부가 중단한 건강보험 보장성 확대를 재추진하여 국민의 의료비 부담 경감
  ○ 최후의 생활안전망 대폭 강화, 생애주기별 외로움고독 정책으로 삶의질 개선
  ○ 장애인 권리보장으로 지역사회 자립 기반 확립
  ○ 전국민 고용보험' 조기실현으로 고용위기 상황에 능동적으로 대처
  ○ '전국민 산재보험제', '산재보험 국가책임제' 실현으로 산재피해자를 두텁게 보호하고 직장 복귀 지원
  ○ 국민휴가지원 3종 세트로 국민의 관광 지원 및 국내 관광수요 촉진
  ○ 문화예술인의 창의적 창작권을 보장하고, 국민을 위한 문화예술 국가 구현
  ○ 국민 누구나 즐기는 스포츠문화권 확대
  ○ 사람과 동물이 더불어 행복한 사회 구현

□ 이행방법
  ○ 요양병원 입원환자에 대한 간병비 건강보험 적용, 간병인 양성체계 마련하여 간병 질 관리 제고, 노인장기요양보험 수급권 확장을 통한 공적 돌봄 대상 어르신 확대
  ○ 지역의사제, 공공의대 및 지역의대 신설로 공공·필수·지역 의료 강화, 공공·필수·지역 의료 강화를 위한 합리적 의료인 증원계획 마련, 필수의료 분야 의료사고에 대한 국가책임 강화, 전공의 수련환경 및 간호인력 처우 획기적 개선
  ○ 임플란트 건강보험 적용 연령 인하 및 급여 확대, 특정 질환에 대한 첨단 로봇수술 건강보험 급여화 등
  ○ 국민기초생활보장 부양의무자 기준 완전 폐지, 기초생활보장 생계급여 자격기준 및 보장수준을 중위소득 32%에서 50%로 단계적 상향, 근로장려금(EITC)과 자녀장려금(CTC)의 대상 및 지급액을 확대
  ○ 외로움 정책을 담당하는 차관급 직제 신설 및 정부 전담조직 설치, 청(소)년,중장년, 노인, 1인가구 등 주요 외로움 경험 집단별 대응 정책 마련
  ○ 조속한'장애인권리보장법' 제정을 통한 체계적 장애인 권리 보장 기반 마련,장애인 지역사회 자립적 생활 여건 개선
  ○ 일하는 모든 사람들의 보편적 고용안전망 '전국민 고용보험'조기 실현, 실업급여(구직급여) 보장성 확대 등 고용안전망 강화, 고용보험 사각지대 단계적 해소
  ○ 일하는 모든 사람을 위한 '전국민 산재보험제도' 단계적 추진, '산재 보험급여의 선 보장'으로 ""산업재해 국가책임제"" 실현
  ○ 지역사랑 휴가지원제(가칭) 신설, '1박2일 숏컷여행(가칭)'지원, 근로자 휴가지원제도 확대
  ○ 정부의 창작권리 개입 금지. 「지원은 하되 간섭은 않는다」의 원칙 준수,문화예술 인력양성 지원법 제정, 보편적 문화향유 실현을 위해 문화재정을 국가예산 대비 2.5% 단계적 확대, 통합문화이용권 이용 확대
  ○ 생활밀착형·장애인형·여성형 등 체육시설 지속 확보 및 시설 개량 지원, 생활체육 종목·장소별 체육지도자 교육 지원, 근로소득자 본인 건강증진을 위한 체육시설 이용료 세제혜택 신설
  ○ 「동물복지기본법」을 제정하고, 「민법」 개정을 위해 노력, 동물 학대자의 동물 소유권 및 사육권 제한, '강아지·고양이 생산공장' 및 '가짜 동물보호소' 금지, 유기동물보호센터의 동물복지 개선으로 반려동물 입양 문화 확산

□ 이행기간
  ○ 관련 법 제·개정 사항은 2024년부터 준비하여 단계적으로 추진
  ○ 관련 재정사업은 2025년부터 단계적으로 확대 투자 

□ 재원조달방안 등
  ○ 연평균 10조원 소요될 것으로 예상되는 재정소요 비용은 재정 지출구조 조정분(경직성경비를 제외한 재량지출의 10%인 18조원 수준) 및 2023~2027 국가재정운용계획에 따른 연간 총수입 증가분(2023~2027년 연평균 증가율 3.7%, 2025년 49조원 증가) 등으로 충당"
더불어민주당,6,"환경, 사법윤리, 행정자치, 노동, 여성",국민 안전을 최우선 챙기겠습니다.,"□ 목 표
  ○ 오송 지하차도 같은'도시침수 예방'으로 인명과 재산피해 발생을 사전 차단
  ○ 통합기상재난예보 실현으로 기후위기로부터 국민을 보호
  ○ 범죄대응체계를 선진화하고 범죄피해자에 대한 보호를 강화
  ○ 데이트폭력, 가정폭력에 단호하게 대처하고 엄중히 대응
  ○ 교통안전 선진국으로 안심 대한민국을 만들고, 교통범칙금과 과태료를 교통사고 예방활동에 사용
  ○ 일하다 다치거나 죽지 않게' 일하는 모든 사람들을 위한 노동안전보건체계를 구축
  ○ 사이버 보안 강국 구축

□ 이행방법
  ○ '도시침수(하수도정비) 중점관리지역'을 추가지정하고, 기존 중점관리지역의 규모를 확대·재설정, '대심도 하류 저류시설(빗물터널 및 방수로)' 대폭 확충, 도시지역 불투수 면적 줄이기 사업추진
  ○ AI 홍수예측 시스템 구축 및 서비스 제공, 산사태 사전예측 시스템 강화 및 서비스 제공, 지진관측 후 통보시간 획기적으로 단축
  ○ 묻지마 범죄를 포함한 흉악범죄 예방을 위해 범죄경력자에 대한 관리·감독 강화, 청소년 범죄에 대한 예방체계 강화, 범죄예방특별법 제정
  ○ 데이트 폭력 범죄 법제화 및 피해자 보호체계 강화, 스토킹 범죄 피해자와 가해자 분리 대처 및 보호 강화, 스토킹 범죄행위 범위를 포괄적 규정으로 확대하여 피해자 보호 실효성 강화
  ○ 가정폭력범죄 반의사불벌죄, 상담조건부 기소유예 제도 폐지 추진, 가정폭력 현장 대응조치 강화, 가정폭력 피해자의 일상 회복과 휴가신청권 보장
  ○ 보행자 안전 우선의 교통체계 구축으로 어린이, 장애인, 어르신 등 보호의무 확대, 사람이 우선인 교통약자 보호 강화, 「자동차교통관리개선특별회계법」 신설을 통하여 교통사고 예방 교육 확대 및 교통안전시설 설치 확충
  ○ 「산업안전보건법」을'모든 일하는 사람들을 보호하는 법체계'로 개편, 하청노동자 보호를 위한 원·하청 통합 안전보건관리체계 구축 등 후진적 산재예방시스템 전면 개편, 50인 미만 영세사업장 등 산업재해 예방 지원 대폭 확대
  ○ 신유형 사이버 공격 대응 보안기술 고도화, 정보보호 전문인력 양성 확대, 정보보호산업을 국가 전략산업으로 육성

□ 이행기간
  ○ 관련 법 제·개정 사항은 2024년부터 준비하여 단계적으로 추진
  ○ 안전관련 재정사업은 2025년부터 단계적으로 확대 투자

□ 재원조달방안 등
  ○ 연간 3조원 소요되는 재정사업 재원은 2023~2027 국가재정운용계획에 반영되어 있는 재원과 연간 총수입 증가분(23~27년 연평균 증가율 3.7%, 2025년 49조원 증가)으로 마련"
더불어민주당,7,"기타(중소벤처), 산업자원, 재정경제",소상공인·자영업자·중소기업의 고통을 덜어드리고 경쟁력을 강화하겠습니다.,"□ 목 표
  ○ 소상공인·자영업자의 경영 부담 대폭 경감, 매출 회복 지원, 폐업 및 재도전 지원 확대
  ○ 온라인 플랫폼 시장 개선 및 대리점주·가맹점주가 대기업본사와 동등하게 협상할 수 있는 공정 시장 조성
  ○ 격차해소와 상생으로 일하고 싶은 중소기업 환경 확립, 중소기업 부담경감, 기술보호 강화와 공정한 거래 환경 조성 및 활로지원과 수출증대 지원
  ○ 모태펀드 등 벤처투자 대폭 확대로 제3의 벤처붐 조성

□ 이행방법
  ○ 간편결제 합리적 수수료율 마련, 소상공인·자영업자 임대료 지원, 소상공인·자영업자 대출이자 부담 경감, 소상공인 에너지비용 지원을 위한 소상공인 에너지바우처 신설, 소상공인·자영업자 상가 임대차 보호 강화 등
  ○ 지역화폐(지역사랑상품권)와 온누리상품권 발행 규모 대폭 확대, 골목상권 도·소매업 퀵커머스 서비스 지원, 지역 특성을 반영한 '상권르네상스 2.0'추진
  ○ 소상공인·자영업자의 원활한 폐업 지원, 소상공인·자영업자의 재도전 금융 지원 확대, 고용보험 및 노란우산공제 가입과 공제혜택(복지) 확대
  ○ 온라인 플랫폼 특성을 반영한 시장 규율 법제 구축, 온라인상 눈속임 상술(다크패턴)로 인한 소비자 피해 방지 및 소비자의 합리적 의사결정을 지원하는 전자상거래법 개정
  ○ 가맹점주·대리점주·수탁사업자·온라인플랫폼 입점사업자의 단체 등록제와 단체협상권 부여로 합리적인 거래계약 유도
  ○ 중소기업 복지 플랫폼 예산 확대, 중소기업 청년재직자내일채움공제 재추진
  ○ 한국무역보험공사의 업무에 중소기업을 위한 수출 팩토링 도입, 중소기업·소상공인 판로 확대 위한 전용 T-커머스 채널 신설 추진
  ○ 납품대금 연동 대상에 에너지요금을 포함하여 수탁기업 부담 완화, 에너지 요금 인상에 취약한 영세 중소기업을 위한 전기요금 지원, 중소기업 에너지 저소비 및 고효율기기 교체 지원 사업 확대
  ○ 중소기업의 공동교섭권 보장, 불공정거래 피해구제지원 제도 강화로 중소기업 공정 안전망 구축, 한국형 디스커버리제도 도입을 통한 중소벤처 기업 기술보호 강화
  ○ 모태펀드 예산 확대를 통해 벤처투자 20조원 달성

□ 이행기간
  ○ 재정사업은 2025년부터 단계적으로 확대
  ○ 관련 법 제·개정 사항은 2024년부터 준비하여 단계적으로 추진

□ 재원조달방안 등
  ○ 소요재원(연평균 2조원 예상)은 2023~2027 국가재정운용계획에 반영되어 있는 재원과 재정지출 구조조정 및 연간 총수입 증가분(23~27년 연평균 증가율 3.7%, 2025년 49조원 증가)으로 마련"
더불어민주당,8,"통일외교통상, 국방",전쟁위기를 막고 평화를 다시 만들겠습니다.,"□ 목 표
  ○ 평화와 경제적 국익을 확보하는 외교, 역사적 사실에 입각한 당당한 대일 외교 실현
  ○ 전쟁위기를 예방하고, 한반도 평화 분위기 조성
  ○ 장병복지여건 개선, 신속한 무기체계 획득, 방위사업비리 근절

□ 이행방법
  <외교>
  ○ 주변 4강외교의 재편과 국제사회의 보편적 가치에 기초한 외교 구현
  ○ 초당적 대북정책의 틀을 마련해 비핵화와 평화구축의 실질적 성과 도출
  ○ 역사를 직시하는 당당한 대일외교 추진
  <통일>
  ○ 군사적 긴장 조성 중단, 평화 분위기 조성 촉구
  ○ 남북 보건의료협력, 이산가족 상봉 등 인도주의 협력을 통해 남북 신뢰 조성
  ○ 남북 문화, 체육, 역사 과학기술 등 다방면의 교류협력 재개 추진
  <국방>
  ○ 당직근무비를 일반공무원 수준으로 인상, 장기근속자 종합검진비 지원, 군장병 복무 중 교육여건 개선, 군 사병 통신비 할인율 20% -> 50% 상향 등
  ○ 청렴서약서 대상 확대 및 구체화, 방산 비리 업체 입찰 참여제한 기간 확대
  ○ 무기체계 도입 과정에서 중복된 시험평가 간소화 및 분산된 무기체계 획득 절차의 통합시험평가 조직 일원화

□ 이행기간
  ○ 외교, 통일분야 : 2024년부터 지속적으로 추진
  ○ 국방분야 : 2025년부터 단계적으로 추진

□ 재원조달방안 등
  ○ 통일 분야 소요재원은 납북협력기금 활용
  ○ 국방 분야 소요재원(25~28년간 970억원 예상)은 2023~2027 국가재정운용계획에 따른 연간 총수입 증가분(23~27년 연평균 증가율 3.7%, 2025년 49조원 증가)으로 마련"
더불어민주당,9,"사법윤리, 과학기술정보통신, 행정자치",국민과 함께 민주주의를 회복하겠습니다.,"□ 목 표
  ○ 검찰 개혁 완성 및 경찰의 정치적 중립성 확보와 민주적 통제
  ○ 주요 과거사의 진정한 명예회복
  ○ 공영방송의 정치적 독립과 자율성 보장
  ○ 방송통신심의위원회의 독립성과 정치적 중립성 확보

□ 이행방법
  ○ 수사·기소권을 분리, 수사기관 전문성 확보, 수사과정에서 당사자들의 인권 보호를 위해 수사절차법 제정, 검사의 기소·불기소 재량권 남용에 대한 사법 통제 실질화 등 검찰개혁 추진
  ○ 국가경찰위원회 실질화를 통한 경찰의 민주적 통제, 경찰국 폐지를 통한 경찰의 정치적 중립성 확보
  ○ 노근리사건, 여수·순천사건 등 주요 과거사에 대한 배·보상 적극추진
  ○ 시청자 중심의 공영방송 이사 및 사장 선임제도 도입, 공영방송 이사 및 사장의 자격요건 엄격 법정화, 보도·제작·편성권과 경영의 분리·독립과 위반 시 처벌 강화 등 공영방송의 정치적 독립과 자율성 보장을 위한 법·제도 개선
  ○ 방송통신심의위원회의 독립성 강화를 위한 심의위원회의 구성 및 운영 개선, 심의 기능의 개선, 심의의 정치적 중립성 강화를 위한 관련 법·제도 개선

□ 이행기간
  ○ 법률 제·개정사항은 2024년부터 준비하여 단계적으로 추진

□ 재원조달방안 등
  ○ 주요 과거사 배·보상은 피해자 및 유족 인정범위 및 보상수준에 따라 변동, 재정 지출구조 조정 및 세입증가분 등으로 재원 충당"
더불어민주당,10,"사법윤리, 정치, 행정자치",정치개혁과 헌법 개정을 추진하겠습니다.,"□ 목 표
  ○ 87년 헌법, 새로운 대한민국에 걸맞게 개헌 추진
  ○ 국회의 특권을 내려놓고 민의는 올곧게 반영
  ○ 청년들의 국회 진출 확대
  ○ 지방의회법을 제정하여 지방자치제도 강화
  ○ 국민 눈높이에 맞는 공직문화 조성
  ○ 과도한 행정조사로 인한 국가기관의 권력남용 방지

□ 이행방법
  ○ 5·18정신 헌법 전문 수록, 대통령 4년 중임제 및 결선투표제 도입, 국무총리 국회추천제 도입, 대통령 재의요구권과 사면권의 헌법적 한계 명문화, 감사원의 독립성과 중립성 강화 등 개헌 추진
  ○ 국회의원에 대해 성과급제 도입, 국회 윤리특별위원회 상설화 및 기능 강화, 국회의원 징계시 벌금제 신설, 국민입법청원 요건 완화 및 상임위 내 지원 조직 신설 추진 등
  ○ 청년후보의 국회의원 선거비용 보전기준 하향 조정
  ○ 지방의회 사무 인사 권한 독립 및 인사청문회, 감사청구 등을 제도화하는 지방의회법 제정
  ○ 공직자 이해충돌방지 의무 이행 강화, 공직자의 부패 등에 대한 처벌 강화
  ○ 행정조사시 조사대상자의 기본권이 보장될 수 있도록 관련 제도 개선

□ 이행기간
  ○ 개헌 추진 및 법률 제·개정사항은 2024년부터 준비하여 단계적으로 추진

□ 재원조달방안 등
  ○ 개헌 등에 소요되는 재원은 총수입 증가분(23~27년 연평균 증가율 3.7%, 2025년 49조원 증가)으로 충당"
